2025-07-09 15:27:45,357 - INFO - Starting phase: Optimized PDF Batch Translation Script
2025-07-09 15:27:45,357 - INFO - Reading configuration from 'config.ini'
2025-07-09 15:27:45,359 - INFO - Configuration loaded successfully
2025-07-09 15:27:45,359 - INFO - Starting phase: Input Configuration
2025-07-09 15:28:48,263 - INFO - Starting phase: Phase 1: PDF Text Extraction
2025-07-09 15:28:48,372 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,375 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,376 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,378 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,380 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,382 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,385 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,387 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,389 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,390 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,392 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,397 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,398 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,400 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,402 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,404 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,405 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,407 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,408 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,410 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,411 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,412 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,414 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,415 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-09 15:28:48,416 - WARNING - CropBox missing from /Page, defaulting to MediaBox
